"Psychiatric Disorder";"Gender Identity";"OR [95% CI]";"p-value"
"Depression";"Cis man";"1.00 [1.00 - 1.00]";"<.001"
"Depression";"Non-binary";"1.00 [1.00 - 1.00]";"<.001"
"Depression";"Trans woman";"1.00 [1.00 - 1.00]";"<.001"
"Depression";"Self-define";"1.00 [1.00 - 1.00]";"<.001"
"Depression";"Trans man";"1.00 [1.00 - 1.00]";"<.001"
"Anxiety";"Cis man";"1.00 [1.00 - 1.00]";"<.001"
"Anxiety";"Non-binary";"1.00 [1.00 - 1.00]";"<.001"
"Anxiety";"Trans woman";"1.00 [1.00 - 1.00]";"<.001"
"Anxiety";"Self-define";"1.00 [1.00 - 1.00]";"<.001"
"Anxiety";"Trans man";"1.00 [1.00 - 1.00]";"<.001"
"Anorexia Nervosa";"Cis man";"1.00 [1.00 - 1.00]";"<.001"
"Anorexia Nervosa";"Non-binary";"1.00 [1.00 - 1.00]";"<.001"
"Anorexia Nervosa";"Trans woman";"1.00 [1.00 - 1.00]";"<.001"
"Anorexia Nervosa";"Self-define";"1.00 [1.00 - 1.00]";"<.001"
"Anorexia Nervosa";"Trans man";"1.00 [1.00 - 1.00]";"<.001"
"Bipolar Disorder";"Cis man";"0.99 [0.99 - 0.99]";"<.001"
"Bipolar Disorder";"Non-binary";"1.00 [1.00 - 1.00]";"<.001"
"Bipolar Disorder";"Trans woman";"1.00 [1.00 - 1.00]";"<.001"
"Bipolar Disorder";"Self-define";"1.00 [1.00 - 1.00]";"<.001"
"Bipolar Disorder";"Trans man";"1.00 [1.00 - 1.00]";"<.001"
"PTSD";"Cis man";"1.00 [1.00 - 1.00]";"<.001"
"PTSD";"Non-binary";"1.00 [1.00 - 1.00]";"<.001"
"PTSD";"Trans woman";"1.00 [1.00 - 1.00]";"<.001"
"PTSD";"Self-define";"1.00 [1.00 - 1.00]";"<.001"
"PTSD";"Trans man";"1.00 [1.00 - 1.00]";"<.001"
"Schizophrenia";"Cis man";"0.99 [0.99 - 0.99]";"<.001"
"Schizophrenia";"Non-binary";"1.00 [1.00 - 1.00]";"<.001"
"Schizophrenia";"Trans woman";"1.00 [1.00 - 1.00]";"<.001"
"Schizophrenia";"Self-define";"1.00 [1.00 - 1.00]";"<.001"
"Schizophrenia";"Trans man";"1.00 [1.00 - 1.00]";"<.001"
